disease,transmission_mode,deficit_covid_acute,excess_post,total_deficit,total_excess,net_cumulative,debt_ratio,debt_status,peak_deficit_year,peak_excess_year
Influenza (laboratory confirmed),respiratory,303900.6,739126.8,303900.6,739126.8,435226.20000000007,2.4321334015135214,overpaid,2021,2025
Pertussis,respiratory,27804,50705,56678,50705,-5973,0.8946151946081372,partial_repayment,2022,2024
Chlamydial infection,STI,18954.600000000006,14419.399999999994,27973.20000000001,14419.399999999994,-13553.800000000017,0.5154719517252223,partial_repayment,2021,2023
Salmonellosis,enteric,9357.2,0,27760.600000000002,0,-27760.600000000002,0,no_debt,2022,NA
Hepatitis C (unspecified),blood_borne,5458.5999999999985,0,19057.799999999996,0,-19057.799999999996,0,no_debt,2022,NA
Ross River virus infection,vector_borne,2157.8,0,13228,1115.1999999999998,-12112.8,0.08430601753855457,minimal_repayment,2023,2020
Varicella zoster (chickenpox),respiratory,1992.6000000000004,0,7046.800000000001,0,-7046.800000000001,0,no_debt,2022,NA
Cryptosporidiosis,enteric,3666.2,10949.8,5847.4,10949.8,5102.4,1.872592947292814,overpaid,2021,2024
Rotavirus,enteric,5133.6,15754.8,5133.6,15754.8,10621.199999999999,3.0689574567554927,overpaid,2020,2024
Hepatitis B (unspecified),blood_borne,2262.7999999999993,0,4720.399999999998,0,-4720.399999999998,0,no_debt,2021,NA
Dengue virus infection,vector_borne,2781.8,1272.1999999999998,4145.6,1272.1999999999998,-2873.4000000000005,0.3068795831725202,minimal_repayment,2021,2024
Mumps,respiratory,1053.2,0,2970.6000000000004,0,-2970.6000000000004,0,no_debt,2021,NA
Shigellosis,enteric,1878.8000000000002,2840.7999999999997,2445.2000000000003,2840.7999999999997,395.59999999999945,1.161786356944217,repaid,2021,2024
Varicella zoster (unspecified),respiratory,1556.2000000000007,26650.199999999997,1556.2000000000007,30978.999999999996,29422.799999999996,19.90682431564065,overpaid,2020,2025
Pneumococcal disease (invasive),respiratory,1307,1678,1317,1678,361,1.2741078208048595,repaid,2020,2025
Varicella zoster (shingles),respiratory,0,2756.3999999999996,1284.800000000001,10440.199999999999,9155.399999999998,8.125933997509332,overpaid,2025,2020
Meningococcal disease (invasive),respiratory,356,0,874,0,-874,0,no_debt,2021,NA
Typhoid Fever,enteric,194.39999999999998,345.20000000000005,194.39999999999998,345.20000000000005,150.80000000000007,1.775720164609054,overpaid,2021,2023
Paratyphoid,enteric,125,75,157,75,-82,0.47770700636942676,minimal_repayment,2021,2023
