disease,state,transmission_mode,border_sensitive,baseline_mean_rate,covid_mean_rate,post_mean_rate,covid_oe,post_oe,covid_pct
Barmah Forest virus infection,ACT,vector_borne,FALSE,0.148,0.11,0,0.7432432432432433,0,-25.675675675675674
Barmah Forest virus infection,NSW,vector_borne,FALSE,1.25,2,0.9133333333333333,1.6,0.7306666666666667,60
Barmah Forest virus infection,NT,vector_borne,FALSE,5.4,3,2,0.5555555555555555,0.37037037037037035,-44.44444444444445
Barmah Forest virus infection,QLD,vector_borne,FALSE,5,6.5,3.6666666666666665,1.3,0.7333333333333333,30
Barmah Forest virus infection,SA,vector_borne,FALSE,0.208,0.17,0.21333333333333335,0.8173076923076924,1.0256410256410258,-18.26923076923076
Barmah Forest virus infection,TAS,vector_borne,FALSE,0.476,0.09,0.11666666666666665,0.18907563025210083,0.24509803921568626,-81.09243697478992
Barmah Forest virus infection,VIC,vector_borne,FALSE,0.14,0.07,0.06999999999999999,0.5,0.4999999999999999,-50
Barmah Forest virus infection,WA,vector_borne,FALSE,1.208,0.8049999999999999,0.8166666666666667,0.6663907284768211,0.6760485651214128,-33.360927152317885
Brucellosis,NSW,zoonotic,FALSE,0.096,0.05,0.14,0.5208333333333334,1.4583333333333335,-47.916666666666664
Brucellosis,NT,zoonotic,FALSE,0.08199999999999999,0.2,0,2.439024390243903,0,143.90243902439028
Brucellosis,QLD,zoonotic,FALSE,0.192,0.24,0.17666666666666667,1.25,0.9201388888888888,24.999999999999993
Brucellosis,SA,zoonotic,FALSE,0.012,0,0.016666666666666666,0,1.3888888888888888,-100
Brucellosis,VIC,zoonotic,FALSE,0.014,0.01,0.016666666666666666,0.7142857142857143,1.1904761904761905,-28.57142857142857
Brucellosis,WA,zoonotic,FALSE,0.024,0,0.03333333333333333,0,1.3888888888888888,-100
Campylobacteriosis,ACT,enteric,FALSE,135.8,164.5,148.66666666666666,1.211340206185567,1.094747177221404,21.13402061855669
Campylobacteriosis,NSW,enteric,FALSE,70.6,148,142.66666666666666,2.096317280453258,2.020774315391879,109.63172804532579
Campylobacteriosis,NT,enteric,FALSE,160.6,131,111,0.8156911581569116,0.6911581569115816,-18.430884184308837
