fortnight_id,disease_group,disease,national_this_fortnight,ytd,state,fortnightly_count
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,ACT,0
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,NSW,0
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,NT,0
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,QLD,1
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,SA,0
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,TAS,0
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,VIC,1
FN03/2025,Bloodborne diseases,Hepatitis B (newly acquired),2,8,WA,0
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,ACT,1
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,NSW,50
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,NT,0
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,QLD,28
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,SA,12
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,TAS,0
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,VIC,53
FN03/2025,Bloodborne diseases,Hepatitis B (unspecified),165,405,WA,21
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,ACT,1
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,NSW,1
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,NT,0
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,QLD,19
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,SA,0
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,TAS,0
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,VIC,0
FN03/2025,Bloodborne diseases,Hepatitis C (newly acquired),24,67,WA,3
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,ACT,4
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,NSW,80
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,NT,0
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,QLD,56
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,SA,7
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,TAS,6
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,VIC,47
FN03/2025,Bloodborne diseases,Hepatitis C (unspecified),241,526,WA,41
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,ACT,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,NSW,2
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,NT,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,QLD,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,SA,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,TAS,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,VIC,0
FN03/2025,Bloodborne diseases,Hepatitis D,4,9,WA,2
FN03/2025,Gastrointestinal diseases,Botulism,0,0,ACT,0
FN03/2025,Gastrointestinal diseases,Botulism,0,0,NSW,0
FN03/2025,Gastrointestinal diseases,Botulism,0,0,NT,0
FN03/2025,Gastrointestinal diseases,Botulism,0,0,QLD,0
FN03/2025,Gastrointestinal diseases,Botulism,0,0,SA,0
